animal,experiment,time_sec,laser,state,pow_slow_ 1,pow_slow_ 2,pow_slow_ 3,pow_slow_ 4,pow_slow_ 5,pow_slow_ 6,pow_slow_ 7,pow_slow_ 8,pow_slow_ 9,pow_slow_10,pow_slow_11,pow_slow_12,pow_slow_13,pow_slow_14,pow_slow_15,pow_slow_16,pow_slow_17,pow_slow_18,pow_slow_19,pow_slow_20,pow_slow_21,pow_slow_22,pow_slow_23,pow_slow_24,pow_slow_25,pow_slow_26,pow_slow_27,pow_slow_28,pow_slow_29,pow_slow_30,pow_slow_31,pow_slow_32,pow_theta_ 1,pow_theta_ 2,pow_theta_ 3,pow_theta_ 4,pow_theta_ 5,pow_theta_ 6,pow_theta_ 7,pow_theta_ 8,pow_theta_ 9,pow_theta_10,pow_theta_11,pow_theta_12,pow_theta_13,pow_theta_14,pow_theta_15,pow_theta_16,pow_theta_17,pow_theta_18,pow_theta_19,pow_theta_20,pow_theta_21,pow_theta_22,pow_theta_23,pow_theta_24,pow_theta_25,pow_theta_26,pow_theta_27,pow_theta_28,pow_theta_29,pow_theta_30,pow_theta_31,pow_theta_32,pow_slow_gamma_ 1,pow_slow_gamma_ 2,pow_slow_gamma_ 3,pow_slow_gamma_ 4,pow_slow_gamma_ 5,pow_slow_gamma_ 6,pow_slow_gamma_ 7,pow_slow_gamma_ 8,pow_slow_gamma_ 9,pow_slow_gamma_10,pow_slow_gamma_11,pow_slow_gamma_12,pow_slow_gamma_13,pow_slow_gamma_14,pow_slow_gamma_15,pow_slow_gamma_16,pow_slow_gamma_17,pow_slow_gamma_18,pow_slow_gamma_19,pow_slow_gamma_20,pow_slow_gamma_21,pow_slow_gamma_22,pow_slow_gamma_23,pow_slow_gamma_24,pow_slow_gamma_25,pow_slow_gamma_26,pow_slow_gamma_27,pow_slow_gamma_28,pow_slow_gamma_29,pow_slow_gamma_30,pow_slow_gamma_31,pow_slow_gamma_32,pow_above_theta_ 1,pow_above_theta_ 2,pow_above_theta_ 3,pow_above_theta_ 4,pow_above_theta_ 5,pow_above_theta_ 6,pow_above_theta_ 7,pow_above_theta_ 8,pow_above_theta_ 9,pow_above_theta_10,pow_above_theta_11,pow_above_theta_12,pow_above_theta_13,pow_above_theta_14,pow_above_theta_15,pow_above_theta_16,pow_above_theta_17,pow_above_theta_18,pow_above_theta_19,pow_above_theta_20,pow_above_theta_21,pow_above_theta_22,pow_above_theta_23,pow_above_theta_24,pow_above_theta_25,pow_above_theta_26,pow_above_theta_27,pow_above_theta_28,pow_above_theta_29,pow_above_theta_30,pow_above_theta_31,pow_above_theta_32
Albert,01-03-18-Albert_resting1,0,OFF,rest,0.00316067036699835,0.0028959284079984,0.00192207986891639,0.00169975920265514,0.00190786553564713,0.00273596038132483,0.00311459289299651,0.00153852230567953,0.00183245380630867,0.00101058869256511,0.00123001711279581,0.00142592066954254,0.000628455826810441,0.000591384593274755,0.000677387571381862,0.000867903107591915,0,0.00144797478529743,0.0019918775105494,0.00186948396116026,0,0,0.00150265643095126,0.00127482480973656,0.00121992654704673,0,0,0.001221464848585,0.0015088082950375,0.00192179840992874,0.00184154507273199,0.0013217327173352,0.00085742030954031,0.000808680882128781,0.000711588425335856,0.000688801302279789,0.000719545715005912,0.000810041426398408,0.000828813169307897,0.00066166255644103,0.000650816391217805,0.00056700533637919,0.000531101216298866,0.000595968545201213,0.000520850568769003,0.000509981247254976,0.000501554744974767,0.000504894203641086,0,0.000659204314097053,0.000688411043437823,0.000643191202597319,0,0,0.000562471946625599,0.000612292345903512,0.000604822150504083,0,0,0.000513923438323199,0.000595832505805276,0.000718853880908197,0.000691686033712953,0.000617074292630294,9.26335224151736e-05,0.000144047645930119,9.7394555149826e-05,0.000119630117596148,7.27343157203818e-05,0.000104430268070045,6.49505568382666e-05,6.92398381009347e-05,0.00011350780979545,5.98845288508023e-05,4.98587286673336e-05,5.78369519475409e-05,5.80711736593313e-05,5.80582833170043e-05,6.18501697016918e-05,9.2495316186623e-05,0,0.000292165558984109,6.56856977005329e-05,5.1005379357755e-05,0,0,0.000860026294217068,0.000197626946566565,6.43785670493514e-05,0,0,0.00123271238433298,6.85624300994562e-05,7.70329478844918e-05,0.000136961154496724,0.000124093707820124,0.000428502313760174,0.000507058623963781,0.000422833373165392,0.000434456501367679,0.000385785791024609,0.000386043602093102,0.000316806976269202,0.000382540284307736,0.000455613043714615,0.000362556864033782,0.000303431120291548,0.00034228788123048,0.000363524205156872,0.000374969525382585,0.000392613566537568,0.000472463713565492,0,0.000602672572515882,0.00036521451289062,0.000321750286987699,0,0,0.00111218661835178,0.000501795090434298,0.000360168509150329,0,0,0.00148324100678174,0.000334082226806968,0.000385513354259593,0.000457427099124955,0.000426925135528835
Albert,01-03-18-Albert_resting1,30,ON,rest,0,0,0,0,0,0,0.00488782809139567,0.00879503520783343,0,0,0.00439999931045607,0,0.00107659811788363,0,0,0,0,0,0.00827993343138837,0,0,0,0,0,0,0,0,0,0,0,0,0.0056697321432821,0,0,0,0,0,0,0.00107610308868732,0.00187741598612187,0,0,0.00100870749781191,0,0.000597966466023179,0,0,0,0,0,0.00193559486672237,0,0,0,0,0,0,0,0,0,0,0,0,0.00125929287214647,0,0,0,0,0,0,5.88265043187786e-05,7.6417737010451e-05,0,0,4.98417197487571e-05,0,5.95476290203704e-05,0,0,0,0,0,7.67716602872843e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000104691008959051,0,0,0,0,0,0,0.000324569497012413,0.000488384927210376,0,0,0.000304574214612793,0,0.000368402692739464,0,0,0,0,0,0.000526686823071559,0,0,0,0,0,0,0,0,0,0,0,0,0.00043956856474769
Albert,01-03-18-Albert_resting1,60,OFF,rest,0.00607237777596609,0.00514637287297823,0.00372800363352985,0.00381512324940055,0.00697453654850028,0.0050315649026714,0.00385988900128992,0.00563039730879038,0.00493875498351418,0.00556408947286188,0.00226002635936832,0.00592094168050253,0.00132379249720274,0.00494018642074046,0.0074358660044237,0.00535621231160904,0,0.00631310925682171,0.00421800594840316,0.0064104694021882,0,0,0.00424005506909644,0.00476371762718719,0.00425383362717064,0,0,0.00351096271226072,0.00429165456904068,0.00478053846137138,0.00326494557142851,0.00308993922222103,0.00137534952696527,0.00119883464840874,0.00107759141630872,0.00110804716025451,0.00154902707381672,0.00124098034439166,0.000984196196875506,0.00133730114296724,0.00118177055058571,0.0012881168901,0.00073347544375841,0.00136437644184083,0.000650842812785273,0.00122028584443332,0.00159543856142224,0.00124696705361979,0,0.00147610470555583,0.00113730984511069,0.00142709181248155,0,0,0.00108162428976924,0.00111143369756715,0.00111983858126184,0,0,0.000971851982658304,0.00110097505108777,0.00122303715520619,0.000997141994900182,0.000890236048419711,8.55448079936961e-05,0.000120778578285897,8.67285217213267e-05,9.52669006547666e-05,6.24450351925185e-05,8.50177748642181e-05,5.46005847631016e-05,6.13956448999062e-05,0.000100750459308629,5.24129483808034e-05,4.52305703657532e-05,5.24839592164994e-05,5.30259328322188e-05,5.53060032947041e-05,6.30722942631278e-05,9.29648048987146e-05,0,0.000204219181006919,5.97351768225153e-05,4.95927036944913e-05,0,0,0.000674210250015813,0.000159850206388501,6.18031029891102e-05,0,0,0.00095491471771674,6.31926039896012e-05,7.02828413861303e-05,0.000116934475788285,0.000103578572098929,0.000470972241537763,0.000518194399339194,0.000472094870611151,0.000461771535459665,0.000395823177130192,0.000420292080586919,0.000321488595790541,0.000404886216984406,0.000487740158585113,0.000357113439682426,0.000312835169268522,0.000371630179589788,0.000376156395464835,0.000395346473632834,0.00043536719809966,0.000509949857492307,0,0.000562281722510197,0.000405952324663079,0.000362308117858583,0,0,0.000967764863063883,0.000494142206359204,0.000409783506888743,0,0,0.00125935118467209,0.000387717637076375,0.000425803482640587,0.000492996632944437,0.0004475205140015
Albert,01-03-18-Albert_resting2,0,OFF,rest,0.00179847533605044,0.0010638808686536,0.000299422581895743,0.00094603651981503,0.00103964026603287,0.000916563813824751,0.00101216861239142,0.000496001625306884,0.000646791518905715,0.000688525030789417,0.000660582760412993,0.00107037643968295,0.000387935372778704,0.000320506521872946,0.000462318947475708,0.000386920887973394,0,0.00115215997492672,0.00187529340459006,0.00149366046684162,0,0,0.00116945076665192,0.000580290127508949,0.00151076277208659,0,0,0.000546360528710417,0.00046728459142345,0.000845923710582159,0.00111395570208137,0.000542642694243408,0.000639131090181196,0.000496265576354342,0.000450167004284368,0.000552302078045258,0.000564270705838907,0.000497908025061825,0.000474909408839512,0.000489918632968657,0.000462710570355593,0.000500990703029909,0.000426874808913013,0.000528244905544538,0.000465460376885455,0.000464835830721646,0.000475519009161613,0.000394484274657595,0,0.000590415404918083,0.000669818391617946,0.000572828486500073,0,0,0.000485044739788044,0.000489554410898858,0.000638048520053635,0,0,0.0003862028046452,0.000416732965497431,0.000532778046880249,0.000577989753984858,0.000483992655948416,8.16526873017338e-05,0.000123522269398892,8.66899569217749e-05,0.00010093353095092,6.48544374932259e-05,8.54203525637627e-05,5.68841398439247e-05,5.79153696517326e-05,8.94457223352463e-05,4.80695398330291e-05,4.15394932579049e-05,4.2247527217111e-05,4.48230736458227e-05,4.91099406925177e-05,5.023625314229e-05,7.88414725952502e-05,0,0.000351208811217362,5.66697407756145e-05,5.23398351045547e-05,0,0,0.00137797825615667,0.000198082458487817,5.73050053833485e-05,0,0,0.00193872343975207,7.57851133929521e-05,7.00500204949106e-05,0.000110160941678168,0.000124429146888559,0.000363253198178175,0.000415984355788122,0.000361967033610464,0.000357178349941362,0.000313272566422258,0.000306674215593517,0.000252569149265626,0.000314578036782832,0.000374531410645732,0.000287288284172635,0.00024283359000371,0.000265457151446773,0.0002884414056951,0.00031214870583143,0.000331860674863833,0.000375008711612921,0,0.000604184522950721,0.000300951404289995,0.000272911304506036,0,0,0.00158232019927581,0.00045881012422419,0.000306696772546648,0,0,0.00215325204170157,0.000293202909534454,0.000322030244724588,0.000386215301678223,0.000381703815407473
Albert,01-03-18-Albert_resting2,30,ON,rest,0.00193714967665116,0.0012860190601796,0.000458527090572221,0.00105885434411119,0.00115736296616403,0.00107447184032424,0.00125421877680944,0.000591924941341382,0.00071420600409556,0.000708111726506445,0.000659884670334482,0.00107276644670111,0.000448887496328243,0.000361949601228428,0.000491476509376602,0.000506912358289973,0,0.00116012857967882,0.00187806085701086,0.00153557497100477,0,0,0.00133263619140209,0.000681123801099588,0.000738478724954491,0,0,0.000986464758864533,0.000588037718086447,0.000942310448398498,0.00119243973549381,0.000634885577756419,0.000661008255046169,0.000527049994870874,0.000474277996699873,0.000554432017556052,0.000558843251472285,0.000499154280255023,0.000487309958652096,0.000493350391116446,0.00046614753344559,0.000483093700690334,0.000403067854394645,0.000503826286813812,0.000454667483373851,0.000460162328855966,0.000474497101065064,0.000401935388759172,0,0.000557634696325448,0.00064345337078087,0.000554933863456153,0,0,0.00048470088193032,0.000479420546747714,0.000503576643555289,0,0,0.000449559300158326,0.000419463925582713,0.000522559604782,0.000580352732124135,0.000478878932388304,9.27499564678974e-05,0.000146326773348582,9.78173237182115e-05,0.000117837788602566,7.44229985817678e-05,0.000101678157963667,6.7824347598208e-05,6.4953022412643e-05,0.00010311198254412,5.26670002200181e-05,4.54613043102886e-05,4.58923638000605e-05,4.76811344898605e-05,5.05116845789877e-05,5.1752219606793e-05,8.9286695504414e-05,0,0.000403402629794963,6.10562899471983e-05,5.64910805066167e-05,0,0,0.00168044204682725,0.000254068679361776,6.27707596826183e-05,0,0,0.00231335139921272,9.18472930441311e-05,8.18877838108361e-05,0.000130045969208241,0.000153237681832374,0.000358129319549685,0.000425375589193047,0.000359844500543634,0.000362323190757773,0.000308628112007841,0.00030947741304276,0.000249815478084462,0.000310627201925597,0.00037150979353172,0.000279007921780776,0.000234586993331635,0.000256431735673322,0.000281523141469414,0.000303582247164273,0.000318671636174363,0.000375793541754691,0,0.000643200348522828,0.000292483396065409,0.000265425016704704,0,0,0.0018811245797279,0.000505732304173584,0.000297614035584686,0,0,0.00253435164149565,0.000298056507040051,0.00032233924932378,0.000393984378161911,0.000400876739003311
Albert,01-03-18-Albert_resting2,60,OFF,rest,0.00430556376955072,0.00438667355867742,0.00251972224989189,0.00344244800258423,0.00311276218774965,0.00392738882329013,0.0044356567842462,0.00348588154340962,0.00418056696621788,0.00147962235774165,0.00191067340010948,0.00211305869535087,0.00129652826103945,0.0012674156448329,0.00123079947206274,0.00121615348576543,0,0.00186999296927432,0.00316751408353108,0.00264579217092208,0,0,0.00221611815813238,0.00219526992332521,0.00154555452559325,0,0,0.00196288678366804,0.00182284526516223,0.00245643717882555,0.00268716888708904,0.00275793292977946,0.00110223858348252,0.00112519751158748,0.000895201350873758,0.00104123153288062,0.000962499532545777,0.00107918621853807,0.00105969776175551,0.00101787014791635,0.00108018645098794,0.000644687744746231,0.000638151666111127,0.000711639891899647,0.000617706227767049,0.000616675881938618,0.000598083076326314,0.000554003078724481,0,0.000725387204860363,0.000904382647205601,0.000782017897255741,0,0,0.000691224568971914,0.000777916050825014,0.000656213703594296,0,0,0.000664213653477508,0.000667563999744228,0.000820399330189447,0.000898702783812763,0.000900383322251703,9.23258411849688e-05,0.000139346752934658,9.9486552108461e-05,0.00011576053313059,7.57067136843725e-05,9.54599959019005e-05,6.60594114602503e-05,6.84125974420537e-05,0.00010214142366677,5.65787306637403e-05,4.8412497622311e-05,4.99406483478673e-05,5.31636556058709e-05,5.67692851670956e-05,5.89221910190237e-05,8.8960111385139e-05,0,0.000353302350525177,6.27898695161649e-05,5.82754760473843e-05,0,0,0.00122338348678429,0.000197447759842308,6.07884873455018e-05,0,0,0.00173428408660581,7.7022135106847e-05,7.60803350092953e-05,0.000118465462450501,0.000133511512580666,0.000466133141747677,0.000556833539681994,0.000476084446961571,0.000480854098020689,0.000408950284339763,0.0004226357668385,0.000323977513304244,0.000406635890982949,0.000475926446800147,0.000342721645295875,0.000289377348508806,0.000319262163749091,0.000340888735769131,0.000364164409027831,0.000388040706711678,0.000450517671899676,0,0.000659784910404856,0.000359801603707504,0.000326379059939449,0,0,0.00148714333454064,0.000527286857924706,0.000350969677245624,0,0,0.00202229833043724,0.00034681238146501,0.000390299767794073,0.00048537390099034,0.000486839381742508
Albert,01-03-18-Albert_resting3,0,OFF,rest,0.00177613411932981,0.0012394766181708,0.000471629449881492,0.000962100613911997,0.00104446163560812,0.000908607860670453,0.000999627820034033,0.000502707504586208,0.000626709219684871,0.000669369848831219,0.000619714278958882,0.00104127689074395,0.000531744220239825,0.000426637218106358,0.000519524814587769,0.000394509007913644,0,0.00120192973484961,0.00185297112781161,0.00148848953499227,0,0,0.00109547762121789,0.000586725283295232,0.000780988599426654,0,0,0.000663894292014901,0.000555214866145722,0.000887548533369752,0.00110951111819365,0.000596934998577043,0.000538483637427402,0.000414716932585158,0.000373767649712801,0.000427936445087202,0.000436152251305774,0.000384362019283638,0.000369881292955495,0.000363755179652438,0.000356319134981361,0.000370678917114408,0.00031939426728234,0.000408025614027875,0.000362370694950727,0.000360097132484733,0.000380567783989115,0.000281034696480224,0,0.000469436879320078,0.000549435441638975,0.000465730369204359,0,0,0.000390003353674895,0.000376601938229004,0.000393081241349992,0,0,0.00032397436327769,0.000338621912128995,0.000421327406708206,0.000463025579680631,0.000379246229469161,7.48351518487511e-05,0.000115730787100521,8.32687291280737e-05,0.00010171672856056,6.29375317583073e-05,8.18362000588922e-05,5.55558835991193e-05,5.38884078180306e-05,8.25715949389556e-05,4.43880758740285e-05,3.78321220681498e-05,3.85714090457615e-05,4.23425746754929e-05,4.43830979831877e-05,4.57669575537865e-05,7.19856936464494e-05,0,0.000330640791199038,5.16682637192352e-05,4.81688509553961e-05,0,0,0.00130814652854647,0.000190843137961017,5.04597909231154e-05,0,0,0.0019106734086274,6.63873628395507e-05,6.39349414161268e-05,0.000105785509346417,0.000122011513908697,0.000316597456328684,0.00035590697785586,0.000312590529966093,0.00030127879056961,0.000252964866608518,0.000251473459172301,0.000204922900803542,0.000254540318374678,0.000322987568387067,0.00022600748762641,0.000191502188436795,0.000209533579268996,0.000232069105381849,0.000253511912336358,0.000282023283414572,0.000310896754726157,0,0.000530728835533418,0.000245689873949724,0.000220853094303109,0,0,0.00147365616023299,0.00040508190890877,0.000240972480986087,0,0,0.00208399805858952,0.0002395602693359,0.000265032748809996,0.000331455160131163,0.000332119725709633
Albert,01-03-18-Albert_resting3,60,ON,rest,0.00182469765220036,0.00110951925416773,0.00032906517401623,0.000965705224900739,0.00105259281685812,0.000945590188267796,0.00106649837014009,0.000458855999232883,0.000603238263534078,0.000664842085168117,0.000637129035579184,0.00105537195446519,0.000361208800538666,0.000270358000600284,0.000393587993396413,0.000331308669262062,0,0.00111042483424977,0.0018596227959469,0.0015323847133948,0,0,0.00116403878250603,0.000569343657524126,0.00029129386511725,0,0,0.000531314496192757,0.000457560760876297,0.000859439791312078,0.00112259244146008,0.000556683486291017,0.000571386084503354,0.000423226649082026,0.000369485399919814,0.000479600425401992,0.000488199290107573,0.000431273648476001,0.000417184037062269,0.000400310090820883,0.000374468714986544,0.000420234495043347,0.00036064654671231,0.000457150281645921,0.000381097143199447,0.000372306874442663,0.000381216569675972,0.00029858804596321,0,0.000508750472487288,0.000601809476433958,0.000517635160543297,0,0,0.000429506721812603,0.00041750974363483,0.000359759502590875,0,0,0.000309730304204869,0.000349480754472576,0.000461534067371607,0.000507647352035463,0.000417479011244873,9.24693987811015e-05,0.000130661392377355,9.80361514169366e-05,0.000110605700120151,7.66834827494233e-05,9.03948527298362e-05,6.59266594628732e-05,6.79995111970117e-05,9.94451070856284e-05,5.68629547998276e-05,4.83874395959339e-05,5.00645213122377e-05,5.51405815199694e-05,5.89193723911094e-05,6.13715052736171e-05,9.28124525596e-05,0,0.000394210790230208,6.57426568548231e-05,5.90712286654274e-05,0,0,0.00138318299409085,0.000209760545284732,6.16059657568627e-05,0,0,0.00191627226698316,8.04273367638258e-05,7.78323100585522e-05,0.00011978387982569,0.000135678612452695,0.000363914085887401,0.000417954691852024,0.00035735664444697,0.000353043876844115,0.000310883161184099,0.000297805090026313,0.000248879034679362,0.000309384714446056,0.000376562266188215,0.000282419268602871,0.00023755126447428,0.000261174703542594,0.0002894908208291,0.000306754776411714,0.00032706803485538,0.000384865201084582,0,0.000637490107627694,0.000300553330340456,0.000268033416481003,0,0,0.00157489597619896,0.000463786449226024,0.000290542296370423,0,0,0.00210536840232663,0.000286527236300288,0.000318961140556671,0.0003809466784098,0.000386289267908775
Albert,01-03-18-Albert_resting3,120,OFF,rest,0.00221393093097621,0.00142562072656218,0.000932721482263348,0.00137578844735104,0.00151346507403845,0.00160876378450849,0.0019076572621368,0.00109052939214581,0.00108144550535714,0.000956693631627903,0.000928433434757044,0.00133430103060887,0.000756500349246832,0.000686335662088575,0.00078986661785092,0.000557451855415882,0,0.00153439168645866,0.0021470596635151,0.00188097406059209,0,0,0.00148410049697473,0.00133038223638924,0.000908924124310113,0,0,0.000943079791116402,0.000858629634973688,0.00130827012645934,0.00158450184669212,0.0010213116770415,0.000637321581630864,0.000461290413546972,0.000468170716479042,0.000523482324010338,0.000550616826754344,0.00053060375314063,0.000544666994862026,0.000479069036035267,0.000452694736255076,0.000454970625785903,0.000407083157286903,0.000497229808469455,0.000433171998027874,0.000427057501315925,0.000453486838335224,0.000326335609307639,0,0.000554507014381172,0.000638278290231497,0.000568817125663611,0,0,0.000464037538065805,0.000520545471274242,0.000454799339419962,0,0,0.000378967997128947,0.000416079843465583,0.000522900666475145,0.000567570057054576,0.00047856034538057,6.25389923455139e-05,8.76681674607488e-05,6.86166006220032e-05,7.86292286134464e-05,5.20840017744965e-05,6.23830525007226e-05,4.15171852419897e-05,4.29854972640439e-05,6.05865873235641e-05,3.21736182103396e-05,2.77266271890583e-05,2.83572762481745e-05,3.15771982021969e-05,3.46775084881152e-05,3.60822129754399e-05,5.3441743045767e-05,0,0.000291532063633503,3.98165592232846e-05,3.70256816680781e-05,0,0,0.00135810907464569,0.000186714915037617,4.02725086082442e-05,0,0,0.0020417021917433,6.46539270761752e-05,5.64131727152407e-05,8.97788656575917e-05,0.000109270034494457,0.000350089734551504,0.000354978987496147,0.000328521049168789,0.000295930850202404,0.00026211695398811,0.000247830092118695,0.000204503804621605,0.000262748669981203,0.000341240279136775,0.000232221019824378,0.00019703795067951,0.000217747750469241,0.000239604756512864,0.000267513250999496,0.000312004454070608,0.000315043195221733,0,0.000512320169444525,0.000254746098165334,0.000227751363700874,0,0,0.00152319059749345,0.000424753531530905,0.000250704286946033,0,0,0.00221044978903835,0.000253210161697386,0.000278518061488644,0.000345604306227798,0.000343666260029331
Albert,01-03-18-Albert_sleep1,0,OFF,sleep,0.00232033102000086,0.00142535402134445,0.00100351429556323,0.00146704204616568,0.00159828351636059,0.00141488010793302,0.0015055647676294,0.00105614226095912,0.00112496844571493,0.00111714124654153,0.000998225455323584,0.00152623219600629,0.00094896184558297,0.000912509620743755,0.00104408806877529,0.000699597623932443,0,0.00184685458330497,0.00246443144388894,0.00205194751759755,0,0,0.00138632513488444,0.00111715718726823,0.000841667468501397,0,0,0.000897635315627716,0.000917112659672651,0.00137517281435138,0.00172801609341073,0.00107210708607799,0.000757584986229132,0.000560873576339743,0.000575801225020187,0.000645300439475054,0.000670189929940104,0.000587778812881394,0.000562519970038356,0.000573871346299471,0.000566923230140074,0.000578023969486375,0.000502479534124416,0.000620176031014593,0.000562426756599716,0.000562332178755565,0.000590983765460103,0.000448987848694102,0,0.000729188570102137,0.000810896501932335,0.000702377524779249,0,0,0.000539340294177869,0.000611539043935714,0.000557982040075427,0,0,0.000459258763829286,0.000531056933530793,0.000656201856399959,0.000709305772090822,0.000609476719576612,4.15741875213981e-05,5.51862963073044e-05,4.6444268880375e-05,5.68155515841163e-05,3.70660038328858e-05,4.32463009576532e-05,2.74165558422787e-05,3.04234369472621e-05,3.76357543756363e-05,1.9742157556432e-05,1.72494842292276e-05,1.85921513365641e-05,2.01455310269621e-05,2.33138544944126e-05,2.49459682645125e-05,3.36321393877099e-05,0,0.000146310579514131,2.41423868539946e-05,2.25954015676888e-05,0,0,0.000919557444752317,0.000125832575654738,2.82695306771385e-05,0,0,0.00182986285355363,4.50630508471727e-05,3.72671124003608e-05,5.98122436671268e-05,7.51957977636826e-05,0.000372245030646125,0.000370385928138856,0.000331188223041915,0.000297233484879412,0.000268622179831966,0.00024342447874221,0.000203432578008466,0.000272808683093238,0.000366409869170404,0.00024043922520335,0.000202190137441141,0.000225517965772739,0.000250720164278523,0.000279598540679986,0.000330842009278052,0.000345009218498346,0,0.00039307610134115,0.000261729973668958,0.000230972020771329,0,0,0.00109358736197181,0.000388675929237747,0.000259930231011757,0,0,0.00200470577933943,0.000251961663607537,0.000283094923931585,0.000345131986101879,0.000335936981635429
